,bike_name,price,city,kms_driven,owner,age,power,brand
0,1.0,35000.0,1.0,17654.0,1,3.0,110.0,1
1,2.0,119900.0,2.0,11000.0,1,4.0,350.0,2
2,3.0,600000.0,2.0,110.0,1,8.0,675.0,3
3,4.0,65000.0,3.0,16329.0,1,4.0,180.0,1
4,5.0,80000.0,3.0,10000.0,1,3.0,150.0,4
5,6.0,53499.0,2.0,25000.0,1,6.0,150.0,4
6,7.0,85000.0,2.0,8200.0,1,3.0,160.0,5
7,8.0,45000.0,2.0,12645.0,1,3.0,100.0,6
8,9.0,145000.0,3.0,9190.0,1,3.0,350.0,2
9,10.0,88000.0,2.0,19000.0,2,7.0,500.0,2
44,2.0,85000.0,2.0,18000.0,1,6.0,350.0,2
67,2.0,106000.0,2.0,19000.0,1,6.0,350.0,2
73,9.0,150000.0,3.0,15000.0,1,3.0,350.0,2
102,2.0,135000.0,3.0,45000.0,1,5.0,350.0,2
108,8.0,46000.0,2.0,11760.0,1,3.0,100.0,6
126,2.0,92500.0,2.0,11000.0,1,6.0,350.0,2
132,2.0,91000.0,2.0,18000.0,1,5.0,350.0,2
153,2.0,130000.0,2.0,8419.0,1,3.0,350.0,2
154,2.0,98000.0,2.0,13459.0,1,5.0,350.0,2
155,2.0,85000.0,2.0,14704.0,1,6.0,350.0,2
168,2.0,107000.0,1.0,17000.0,1,4.0,350.0,2
180,6.0,62000.0,2.0,11227.0,1,3.0,150.0,4
192,10.0,110800.0,4.0,13300.0,1,6.0,500.0,2
198,2.0,140000.0,4.0,11000.0,1,4.0,350.0,2
216,2.0,130000.0,2.0,10149.0,1,3.0,350.0,2
217,2.0,130000.0,2.0,7036.0,1,3.0,350.0,2
227,2.0,105000.0,2.0,16000.0,1,4.0,350.0,2
304,2.0,135000.0,2.0,2200.0,1,4.0,350.0,2
348,2.0,102500.0,2.0,29000.0,1,5.0,350.0,2
349,2.0,87000.0,2.0,15000.0,1,7.0,350.0,2
351,2.0,131100.0,9.0,6200.0,1,4.0,350.0,2
386,2.0,109900.0,2.0,8600.0,1,5.0,350.0,2
391,2.0,126000.0,3.0,23000.0,1,4.0,350.0,2
398,2.0,143000.0,3.0,7000.0,1,3.0,350.0,2
406,2.0,115000.0,2.0,15000.0,2,5.0,350.0,2
426,4.0,40000.0,2.0,16688.0,2,6.0,180.0,1
442,2.0,108000.0,2.0,20000.0,1,5.0,350.0,2
465,2.0,133000.0,2.0,8000.0,1,4.0,350.0,2
479,2.0,150000.0,2.0,4000.0,1,2.0,350.0,2
503,2.0,131000.0,2.0,9900.0,1,4.0,350.0,2
515,2.0,98000.0,9.0,7300.0,1,7.0,350.0,2
561,2.0,130000.0,3.0,6200.0,1,4.0,350.0,2
587,2.0,90000.0,2.0,13140.0,1,8.0,350.0,2
620,2.0,115000.0,2.0,14000.0,1,4.0,350.0,2
623,2.0,118000.0,2.0,10000.0,1,4.0,350.0,2
624,2.0,129500.0,2.0,6300.0,1,3.0,350.0,2
628,6.0,77500.0,2.0,45.0,1,3.0,150.0,4
629,2.0,99000.0,2.0,32158.0,1,6.0,350.0,2
641,2.0,130000.0,4.0,20000.0,1,3.0,350.0,2
646,8.0,52500.0,2.0,9000.0,1,3.0,100.0,6
687,2.0,113000.0,2.0,13000.0,1,5.0,350.0,2
706,2.0,120000.0,9.0,16562.0,1,4.0,350.0,2
748,2.0,133600.0,2.0,3000.0,1,5.0,350.0,2
751,2.0,112000.0,3.0,25000.0,1,6.0,350.0,2
777,5.0,68900.0,6.0,16980.0,2,4.0,150.0,4
783,2.0,130000.0,2.0,11200.0,1,3.0,350.0,2
796,2.0,135000.0,2.0,9000.0,1,3.0,350.0,2
810,2.0,114000.0,2.0,7500.0,1,4.0,350.0,2
847,2.0,120000.0,1.0,5100.0,1,6.0,350.0,2
855,2.0,108000.0,2.0,27000.0,1,6.0,350.0,2
905,2.0,101500.0,9.0,3000.0,1,8.0,350.0,2
941,2.0,115700.0,2.0,15000.0,2,4.0,350.0,2
954,2.0,110000.0,9.0,46026.0,1,6.0,350.0,2
990,2.0,105000.0,2.0,21000.0,1,6.0,350.0,2
992,2.0,90000.0,2.0,8000.0,1,7.0,350.0,2
1010,9.0,160000.0,7.0,5800.0,1,3.0,350.0,2
1045,6.0,35273.0,2.0,3100.0,1,8.0,150.0,4
1067,2.0,99000.0,6.0,17047.0,1,5.0,350.0,2
1103,2.0,125000.0,7.0,32000.0,1,7.0,350.0,2
1104,2.0,118000.0,2.0,12000.0,1,5.0,350.0,2
1158,2.0,85700.0,2.0,5000.0,1,7.0,350.0,2
1167,2.0,180000.0,2.0,8000.0,1,6.0,350.0,2
1169,2.0,75000.0,2.0,20000.0,1,9.0,350.0,2
1175,2.0,136000.0,6.0,2719.0,1,3.0,350.0,2
1177,2.0,130000.0,2.0,16500.0,1,3.0,350.0,2
1178,2.0,115000.0,2.0,7850.0,1,4.0,350.0,2
1185,4.0,65000.0,2.0,40000.0,1,4.0,180.0,1
1202,6.0,62000.0,2.0,21000.0,1,5.0,150.0,4
1215,4.0,42000.0,6.0,19877.0,1,5.0,180.0,1
1226,2.0,151000.0,2.0,1500.0,1,3.0,350.0,2
1228,2.0,115000.0,9.0,26000.0,1,6.0,350.0,2
1240,2.0,121600.0,3.0,9000.0,1,6.0,350.0,2
1293,2.0,129200.0,7.0,2476.0,1,5.0,350.0,2
1299,10.0,130000.0,1.0,14000.0,1,6.0,500.0,2
1338,6.0,23000.0,9.0,31085.0,2,8.0,150.0,4
1389,6.0,40000.0,3.0,18000.0,1,8.0,150.0,4
1390,2.0,105000.0,2.0,14000.0,2,6.0,350.0,2
1406,8.0,45000.0,2.0,717.0,1,3.0,100.0,6
1408,6.0,37000.0,2.0,12500.0,1,6.0,150.0,4
1432,2.0,110000.0,2.0,16500.0,1,5.0,350.0,2
1433,2.0,115000.0,2.0,8000.0,1,4.0,350.0,2
1455,6.0,42000.0,4.0,14500.0,1,7.0,150.0,4
1494,2.0,92000.0,2.0,21000.0,2,6.0,350.0,2
1495,2.0,125000.0,4.0,14000.0,1,4.0,350.0,2
1515,4.0,60000.0,2.0,2400.0,1,3.0,180.0,1
1520,2.0,82400.0,3.0,52000.0,1,8.0,350.0,2
1531,10.0,95000.0,3.0,12233.0,1,6.0,500.0,2
1538,6.0,30500.0,6.0,22500.0,2,8.0,150.0,4
1544,6.0,75500.0,4.0,10000.0,1,3.0,150.0,4
1572,2.0,134100.0,3.0,10000.0,1,5.0,350.0,2
1594,2.0,89600.0,4.0,40000.0,1,9.0,350.0,2
1606,2.0,127100.0,6.0,8000.0,1,4.0,350.0,2
1665,2.0,111500.0,2.0,29299.0,1,4.0,350.0,2
1683,2.0,133000.0,2.0,5600.0,1,4.0,350.0,2
1742,1.0,36000.0,2.0,7580.0,1,4.0,110.0,1
1745,2.0,110000.0,2.0,16689.0,1,5.0,350.0,2
1751,6.0,40000.0,2.0,18000.0,1,8.0,150.0,4
1768,6.0,57000.0,2.0,23000.0,1,4.0,150.0,4
1780,5.0,79000.0,2.0,8000.0,1,3.0,150.0,4
1784,2.0,100000.0,4.0,59000.0,1,7.0,350.0,2
1802,4.0,88000.0,9.0,900.0,1,2.0,180.0,1
1804,2.0,125000.0,2.0,13800.0,1,3.0,350.0,2
1869,6.0,22000.0,2.0,33000.0,2,10.0,150.0,4
1898,2.0,109000.0,2.0,25600.0,1,6.0,350.0,2
1899,2.0,108000.0,2.0,7299.0,1,5.0,350.0,2
1938,6.0,60000.0,2.0,11217.0,1,9.0,150.0,4
1959,6.0,28300.0,2.0,35000.0,2,7.0,150.0,4
1974,6.0,23300.0,2.0,12580.0,2,11.0,150.0,4
2026,2.0,71299.0,9.0,32000.0,1,9.0,350.0,2
2041,9.0,160000.0,7.0,4200.0,1,3.0,350.0,2
2142,2.0,71000.0,2.0,11000.0,2,10.0,350.0,2
2143,4.0,70000.0,2.0,7000.0,2,3.0,180.0,1
2148,10.0,135000.0,9.0,19926.0,2,7.0,500.0,2
2233,2.0,81100.0,6.0,21000.0,1,7.0,350.0,2
2268,4.0,35999.0,1.0,16000.0,1,5.0,180.0,1
2280,2.0,100000.0,1.0,33500.0,1,5.0,350.0,2
2345,2.0,145000.0,4.0,12000.0,1,3.0,350.0,2
2440,2.0,104000.0,2.0,29100.0,1,7.0,350.0,2
2450,2.0,106700.0,2.0,14500.0,1,7.0,350.0,2
2471,2.0,110000.0,3.0,17200.0,1,6.0,350.0,2
2490,6.0,35000.0,2.0,22000.0,1,8.0,150.0,4
2507,6.0,37000.0,2.0,53500.0,1,8.0,150.0,4
2584,4.0,49999.0,2.0,20000.0,2,6.0,180.0,1
2587,6.0,35000.0,6.0,19000.0,1,9.0,150.0,4
2610,2.0,98000.0,2.0,9816.0,2,5.0,350.0,2
2616,2.0,120000.0,3.0,16400.0,1,7.0,350.0,2
2630,2.0,125000.0,9.0,3841.0,1,3.0,350.0,2
2636,2.0,89000.0,7.0,48602.0,1,9.0,350.0,2
2706,2.0,140000.0,4.0,16000.0,1,6.0,350.0,2
2721,2.0,84000.0,2.0,16694.0,1,7.0,350.0,2
2723,2.0,146300.0,7.0,750.0,1,4.0,350.0,2
2727,2.0,100000.0,2.0,14576.0,2,6.0,350.0,2
2741,2.0,136000.0,2.0,5800.0,1,5.0,350.0,2
2784,6.0,24000.0,2.0,9614.0,1,11.0,150.0,4
2788,2.0,79400.0,9.0,19225.0,1,10.0,350.0,2
2804,2.0,89000.0,6.0,24516.0,1,6.0,350.0,2
2833,5.0,70000.0,2.0,9355.0,1,4.0,150.0,4
2846,2.0,104000.0,4.0,27623.0,1,5.0,350.0,2
2865,2.0,118000.0,9.0,15256.0,1,3.0,350.0,2
2898,2.0,130000.0,2.0,2503.0,1,4.0,350.0,2
2914,2.0,111600.0,3.0,22000.0,1,7.0,350.0,2
2923,6.0,35000.0,2.0,28000.0,1,9.0,150.0,4
2934,10.0,90000.0,9.0,2539.0,1,7.0,500.0,2
2950,2.0,125000.0,4.0,36000.0,1,4.0,350.0,2
2960,4.0,47000.0,6.0,24000.0,2,4.0,180.0,1
2968,4.0,55000.0,9.0,20363.0,1,4.0,180.0,1
2969,4.0,36000.0,9.0,35688.0,1,6.0,180.0,1
3010,4.0,45000.0,3.0,26500.0,2,7.0,180.0,1
3021,4.0,40500.0,9.0,39125.0,1,6.0,180.0,1
3034,2.0,130000.0,3.0,13000.0,1,4.0,350.0,2
3057,2.0,120000.0,6.0,11000.0,1,3.0,350.0,2
3065,6.0,22000.0,2.0,30378.0,1,9.0,150.0,4
3189,10.0,130000.0,3.0,16000.0,1,6.0,500.0,2
3190,10.0,200000.0,3.0,10000.0,1,4.0,500.0,2
3217,2.0,90000.0,2.0,6465.0,1,9.0,350.0,2
3281,2.0,107900.0,2.0,9767.0,1,7.0,350.0,2
3284,2.0,97100.0,2.0,15000.0,1,8.0,350.0,2
3322,2.0,105000.0,3.0,29000.0,1,7.0,350.0,2
3330,2.0,120000.0,6.0,14354.0,1,3.0,350.0,2
3336,2.0,115000.0,1.0,17000.0,1,4.0,350.0,2
3340,2.0,125000.0,2.0,33160.0,1,3.0,350.0,2
3482,6.0,65000.0,4.0,216000.0,1,8.0,150.0,4
3576,4.0,48000.0,2.0,64831.0,1,5.0,180.0,1
3620,2.0,95000.0,4.0,12107.0,1,5.0,350.0,2
3621,10.0,108900.0,4.0,25660.0,1,9.0,500.0,2
3624,2.0,85000.0,2.0,32000.0,1,7.0,350.0,2
3630,8.0,32000.0,6.0,15948.0,1,4.0,100.0,6
3632,10.0,145000.0,3.0,14717.0,1,4.0,500.0,2
3660,2.0,90000.0,4.0,27922.0,1,6.0,350.0,2
3697,2.0,100000.0,9.0,8942.0,1,7.0,350.0,2
3703,2.0,125600.0,2.0,16000.0,1,4.0,350.0,2
3787,2.0,100000.0,2.0,13869.0,2,5.0,350.0,2
3842,4.0,42000.0,2.0,30862.0,1,5.0,180.0,1
3863,2.0,110000.0,6.0,7193.0,1,4.0,350.0,2
3882,8.0,55000.0,6.0,4195.0,1,2.0,100.0,6
3937,6.0,19000.0,6.0,21878.0,1,11.0,150.0,4
3973,6.0,28500.0,6.0,18748.0,1,8.0,150.0,4
4032,10.0,118000.0,2.0,8000.0,1,6.0,500.0,2
4055,8.0,55000.0,9.0,5238.0,1,2.0,100.0,6
4058,6.0,33000.0,6.0,15388.0,1,7.0,150.0,4
4071,2.0,90000.0,2.0,17900.0,1,6.0,350.0,2
4088,2.0,110000.0,1.0,20844.0,1,7.0,350.0,2
4107,6.0,22500.0,6.0,40000.0,2,9.0,150.0,4
4123,2.0,75000.0,6.0,30875.0,1,7.0,350.0,2
4137,6.0,55000.0,9.0,4000.0,1,4.0,150.0,4
4249,6.0,66000.0,3.0,23000.0,1,5.0,150.0,4
4345,10.0,98100.0,2.0,17000.0,1,7.0,500.0,2
4372,2.0,115000.0,6.0,17318.0,1,6.0,350.0,2
4374,2.0,110000.0,4.0,21000.0,1,6.0,350.0,2
4432,2.0,123000.0,2.0,8600.0,1,5.0,350.0,2
4433,2.0,115000.0,2.0,8536.0,1,5.0,350.0,2
4503,2.0,97000.0,2.0,38369.0,1,6.0,350.0,2
4519,2.0,92000.0,6.0,17426.0,1,5.0,350.0,2
4547,4.0,36700.0,4.0,47000.0,1,8.0,180.0,1
4551,2.0,112000.0,6.0,12552.0,1,3.0,350.0,2
4603,2.0,96000.0,2.0,20755.0,1,5.0,350.0,2
4611,2.0,95000.0,2.0,15080.0,1,5.0,350.0,2
4643,2.0,117300.0,4.0,31000.0,1,6.0,350.0,2
4644,2.0,119200.0,4.0,12224.0,1,4.0,350.0,2
4691,2.0,65500.0,1.0,7347.0,1,10.0,350.0,2
4747,6.0,35000.0,2.0,17325.0,1,7.0,150.0,4
4761,2.0,104700.0,7.0,26000.0,1,7.0,350.0,2
4762,2.0,73000.0,6.0,31254.0,1,6.0,350.0,2
4766,6.0,52000.0,6.0,16229.0,1,4.0,150.0,4
4768,2.0,100000.0,2.0,23090.0,1,5.0,350.0,2
4983,2.0,145500.0,1.0,33486.0,1,4.0,350.0,2
5001,2.0,96300.0,3.0,28000.0,1,9.0,350.0,2
5002,2.0,97000.0,3.0,41211.0,1,7.0,350.0,2
5003,2.0,85000.0,3.0,24592.0,1,10.0,350.0,2
5018,4.0,45000.0,2.0,18611.0,1,5.0,180.0,1
5031,2.0,120000.0,2.0,13560.0,1,4.0,350.0,2
5058,2.0,95000.0,2.0,20000.0,1,6.0,350.0,2
5065,6.0,43000.0,7.0,38000.0,1,7.0,150.0,4
5074,2.0,130800.0,2.0,24000.0,1,5.0,350.0,2
5096,2.0,84000.0,2.0,19912.0,1,7.0,350.0,2
5129,2.0,141000.0,2.0,4625.0,1,3.0,350.0,2
5130,2.0,134400.0,2.0,1550.0,1,4.0,350.0,2
5149,2.0,115000.0,3.0,18057.0,2,5.0,350.0,2
5158,2.0,109000.0,2.0,13000.0,1,6.0,350.0,2
5195,10.0,119000.0,2.0,14735.0,1,5.0,500.0,2
5211,6.0,45000.0,2.0,32375.0,1,8.0,150.0,4
5239,2.0,140000.0,7.0,9788.0,1,5.0,350.0,2
5246,6.0,48000.0,2.0,11000.0,1,7.0,150.0,4
5270,2.0,110000.0,2.0,5073.0,1,5.0,350.0,2
5300,6.0,18000.0,9.0,18465.0,1,12.0,150.0,4
5364,4.0,72000.0,2.0,7000.0,2,3.0,180.0,1
5399,2.0,145000.0,3.0,10000.0,1,5.0,350.0,2
5400,2.0,132400.0,3.0,12000.0,1,5.0,350.0,2
5401,4.0,68000.0,2.0,10000.0,1,5.0,180.0,1
5403,2.0,90000.0,2.0,38400.0,1,10.0,350.0,2
5407,2.0,141900.0,3.0,7400.0,1,4.0,350.0,2
5415,6.0,35255.0,2.0,25000.0,1,9.0,150.0,4
5417,2.0,130000.0,6.0,7000.0,1,5.0,350.0,2
5429,4.0,88000.0,3.0,3500.0,1,4.0,180.0,1
5471,2.0,133300.0,7.0,18000.0,1,5.0,350.0,2
5480,6.0,22000.0,9.0,29428.0,1,9.0,150.0,4
5487,2.0,125000.0,7.0,17677.0,1,4.0,350.0,2
5490,2.0,85000.0,9.0,3842.0,1,7.0,350.0,2
5600,2.0,95000.0,2.0,14008.0,1,6.0,350.0,2
5606,9.0,150900.0,3.0,11850.0,1,3.0,350.0,2
5627,4.0,28000.0,9.0,46182.0,1,8.0,180.0,1
5646,6.0,46000.0,2.0,11000.0,2,6.0,150.0,4
5661,2.0,91000.0,2.0,14555.0,1,6.0,350.0,2
5672,8.0,40000.0,9.0,28397.0,2,4.0,100.0,6
5678,2.0,90000.0,2.0,5148.0,2,5.0,350.0,2
5704,2.0,91000.0,2.0,18399.0,1,6.0,350.0,2
5799,2.0,111100.0,2.0,21533.0,1,5.0,350.0,2
5801,2.0,100000.0,4.0,17482.0,2,6.0,350.0,2
5807,2.0,130000.0,2.0,24167.0,1,4.0,350.0,2
5858,6.0,18000.0,2.0,64901.0,3,11.0,150.0,4
5879,2.0,87000.0,1.0,23379.0,1,7.0,350.0,2
5880,2.0,150000.0,1.0,10789.0,1,3.0,350.0,2
5881,2.0,90000.0,1.0,23000.0,1,6.0,350.0,2
5893,6.0,25000.0,6.0,78309.0,1,9.0,150.0,4
5904,2.0,95000.0,3.0,24745.0,1,5.0,350.0,2
5910,2.0,140000.0,3.0,11166.0,1,3.0,350.0,2
5917,6.0,17000.0,2.0,15000.0,2,13.0,150.0,4
5922,2.0,78000.0,2.0,26536.0,1,7.0,350.0,2
5990,10.0,145000.0,4.0,14307.0,1,5.0,500.0,2
6024,10.0,110000.0,2.0,6500.0,1,6.0,500.0,2
6065,2.0,130000.0,2.0,5580.0,1,4.0,350.0,2
6081,4.0,22000.0,9.0,25560.0,1,12.0,180.0,1
6141,2.0,105600.0,3.0,17600.0,1,6.0,350.0,2
6215,6.0,40000.0,2.0,20000.0,1,7.0,150.0,4
6270,2.0,142000.0,7.0,16690.0,1,3.0,350.0,2
6292,2.0,74000.0,4.0,15000.0,1,9.0,350.0,2
6315,10.0,114000.0,3.0,13631.0,1,6.0,500.0,2
6316,10.0,105000.0,3.0,19111.0,1,7.0,500.0,2
6381,2.0,112000.0,2.0,6646.0,1,6.0,350.0,2
6382,2.0,111000.0,2.0,55532.0,1,4.0,350.0,2
6404,6.0,33000.0,6.0,99999.0,1,7.0,150.0,4
6456,6.0,25000.0,9.0,38554.0,1,7.0,150.0,4
6457,2.0,90000.0,2.0,20615.0,1,6.0,350.0,2
6502,2.0,78000.0,2.0,36000.0,1,9.0,350.0,2
6567,2.0,110000.0,6.0,11776.0,1,4.0,350.0,2
6572,2.0,120000.0,6.0,12028.0,1,6.0,350.0,2
6578,2.0,105000.0,6.0,15932.0,1,4.0,350.0,2
6683,2.0,90047.0,3.0,41000.0,1,6.0,350.0,2
6724,10.0,115000.0,3.0,24667.0,1,6.0,500.0,2
6725,10.0,110000.0,3.0,12800.0,1,8.0,500.0,2
6778,2.0,119000.0,3.0,8253.0,1,4.0,350.0,2
6995,2.0,94900.0,3.0,60000.0,1,7.0,350.0,2
6996,2.0,90000.0,3.0,61129.0,1,5.0,350.0,2
7158,2.0,125000.0,9.0,12800.0,1,3.0,350.0,2
7179,6.0,46000.0,7.0,28176.0,1,7.0,150.0,4
7232,2.0,80000.0,3.0,29850.0,1,7.0,350.0,2
7248,6.0,30000.0,2.0,70000.0,2,7.0,150.0,4
7287,2.0,75000.0,2.0,29716.0,1,11.0,350.0,2
7304,4.0,41000.0,6.0,25943.0,1,5.0,180.0,1
7306,4.0,36000.0,6.0,21578.0,1,6.0,180.0,1
7342,9.0,150000.0,3.0,27356.0,1,3.0,350.0,2
7347,4.0,45000.0,6.0,23481.0,1,5.0,180.0,1
7434,6.0,50000.0,7.0,29800.0,1,7.0,150.0,4
7470,6.0,41000.0,6.0,6168.0,1,5.0,150.0,4
7471,6.0,32000.0,9.0,40828.0,1,6.0,150.0,4
7472,6.0,33000.0,2.0,13007.0,2,6.0,150.0,4
7478,6.0,40000.0,2.0,37000.0,1,7.0,150.0,4
7537,6.0,45000.0,7.0,34900.0,1,7.0,150.0,4
7543,6.0,49000.0,1.0,13959.0,1,4.0,150.0,4
7550,2.0,120000.0,7.0,45000.0,1,4.0,350.0,2
7601,6.0,25000.0,4.0,22917.0,1,9.0,150.0,4
7602,6.0,26000.0,4.0,37000.0,1,9.0,150.0,4
7699,2.0,96000.0,3.0,7794.0,1,7.0,350.0,2
7716,2.0,100000.0,2.0,30000.0,1,7.0,350.0,2
7737,2.0,115000.0,9.0,18832.0,1,5.0,350.0,2
7742,2.0,147000.0,3.0,11000.0,1,5.0,350.0,2
7755,2.0,130000.0,2.0,24000.0,1,4.0,350.0,2
7816,2.0,95500.0,2.0,18000.0,1,8.0,350.0,2
7825,2.0,107000.0,2.0,16505.0,1,5.0,350.0,2
7833,6.0,35000.0,2.0,19134.0,1,11.0,150.0,4
7841,6.0,22000.0,2.0,32000.0,1,13.0,150.0,4
7851,2.0,120000.0,2.0,23719.0,1,5.0,350.0,2
7856,2.0,134100.0,2.0,1700.0,1,4.0,350.0,2
7897,2.0,125000.0,3.0,13000.0,1,7.0,350.0,2
7902,2.0,99000.0,2.0,18000.0,2,7.0,350.0,2
8000,2.0,115000.0,2.0,26000.0,1,7.0,350.0,2
8008,2.0,107000.0,2.0,15000.0,1,7.0,350.0,2
8041,2.0,115000.0,4.0,16476.0,1,5.0,350.0,2
8047,4.0,48000.0,2.0,18533.0,1,5.0,180.0,1
8078,2.0,95000.0,6.0,7875.0,1,6.0,350.0,2
8148,2.0,101000.0,2.0,18894.0,1,5.0,350.0,2
8152,2.0,150000.0,3.0,76467.0,1,9.0,350.0,2
8217,2.0,105000.0,2.0,10581.0,1,4.0,350.0,2
8246,10.0,108400.0,2.0,3545.0,1,8.0,500.0,2
8251,1.0,54000.0,4.0,100.0,1,3.0,110.0,1
8263,4.0,55000.0,3.0,16956.0,1,7.0,180.0,1
8270,2.0,99000.0,4.0,16000.0,2,7.0,350.0,2
8345,2.0,113000.0,7.0,286055.0,1,5.0,350.0,2
8409,2.0,120000.0,2.0,3626.0,1,4.0,350.0,2
8422,2.0,145000.0,4.0,10300.0,1,4.0,350.0,2
8447,6.0,45000.0,3.0,26200.0,2,8.0,150.0,4
8457,2.0,124000.0,2.0,6154.0,1,4.0,350.0,2
8476,4.0,26000.0,2.0,61041.0,1,10.0,180.0,1
8482,2.0,140000.0,2.0,12739.0,1,3.0,350.0,2
8506,2.0,110000.0,4.0,29639.0,1,5.0,350.0,2
8534,4.0,60000.0,3.0,13608.0,1,5.0,180.0,1
8563,10.0,101001.0,1.0,28000.0,1,8.0,500.0,2
8564,2.0,80000.0,1.0,28097.0,1,10.0,350.0,2
8584,6.0,28000.0,9.0,31586.0,1,8.0,150.0,4
8587,2.0,127300.0,2.0,1400.0,1,5.0,350.0,2
8589,2.0,134100.0,9.0,2750.0,1,4.0,350.0,2
8605,2.0,131500.0,2.0,4200.0,1,4.0,350.0,2
8623,2.0,90000.0,2.0,46588.0,2,7.0,350.0,2
8670,2.0,100000.0,2.0,13190.0,1,4.0,350.0,2
8680,2.0,116800.0,2.0,17662.0,1,5.0,350.0,2
8711,2.0,125000.0,4.0,47757.0,1,4.0,350.0,2
8761,6.0,60000.0,3.0,13115.0,1,6.0,150.0,4
8811,2.0,150000.0,3.0,6410.0,1,4.0,350.0,2
9027,6.0,36000.0,2.0,14500.0,2,8.0,150.0,4
9072,12.0,41000.0,2.0,13800.0,1,5.0,125.0,6
9148,15.0,22000.0,2.0,22000.0,1,13.0,223.0,6
9152,6.0,38000.0,2.0,40826.0,1,8.0,150.0,4
9194,18.0,5000.0,2.0,82178.0,1,18.0,135.0,6
9203,2.0,90000.0,2.0,44000.0,1,10.0,350.0,2
9205,6.0,31000.0,2.0,58000.0,1,10.0,150.0,4
9235,2.0,150000.0,3.0,5400.0,1,8.0,350.0,2
9241,10.0,140000.0,2.0,8500.0,1,5.0,500.0,2
9245,2.0,105000.0,2.0,14779.0,1,4.0,350.0,2
9362,20.0,25000.0,2.0,48587.0,1,8.0,150.0,6
